0	20663735	Marancheri Induchoodan	,['loses', 'passes', 'thwarts', 'follow', 'falls', 'thrashes', 'decides', 'has', 'returns', 'returns', 'interrupts', 'accepts']	,['framed']	son,dead years state confrontations friend court
3	20663735	M.K. Menon	['refuses', 'regrets', 'suffers']	['accused', 'judged']	judge jail corruption funeral
5	20663735	Marancheri Induchoodan	,['loses', 'passes', 'thwarts', 'follow', 'falls', 'thrashes', 'decides', 'has', 'returns', 'returns', 'interrupts', 'accepts']	,['framed']	son,dead years state confrontations friend court
12	595909	Michael Chamberlain	['holiday', 'uses', 'disintegrate'],['overturned']	['found'],	pastor day faith,convictions
13	595909	Lindy Chamberlain	['returns', 'saw', 'seems', 'insisted']	['charged', 'found']	wife
15	595909	Michael Chamberlain	['holiday', 'uses', 'disintegrate'],['overturned']	['found'],	pastor day faith,convictions
20	5272176	Vaughn Stevens	['handed'],	,	home,house
21	5272176	Vaughn Stevens	['handed'],	,	home,house
22	1952976	Dahlia	['stands', 'wants', 'unstable', 'see', 'agrees', 'enters', 'complains', 'has', 'looks', 'declines', 'discovers', 'breaks', 'father', 'agrees', 'packs', 'comes', 'Natasha', 'rushes', 'pleads']	['reached', 'left']	girl unstable
23	1952976	Kyle Williams	['wants', 'threatens', 'picks', 'picks', 'takes']		ex-husband
24	1952976	Ceci	['sneaks', 'wants', 'started', 'finds', 'appears', 'taking', 'has']		daughter school age
26	1952976	Natasha	['feels', 'thought', 'refused', 'begs', 'locks', 'lets'],['man'],['reluctant'],['storms', 'takes', 'tries', 'leaves', 'similar', 'represents'],['meets', 'helps', 'knew', 'warned', 'died', 'put', 'invites', 'done', 'accompanies', 'loves', 'attempts', 'discovers', 'starts', 'hires', 'become', 'confesses', 'punished', 'threatens', 'calls'],	,,,['found'],,	fight body father,partner,stranger reluctant lesbian,tattoos arm file case parlor tattoo tattoo,company motives father father mad obsession hand blood funeral,night wedding
29	2462689	Long John Willoughby - 'John Doe'	['spreads', 'movement', 'died'],['gets', 'turns', 'realizes', 'intends']	['recognized'],['hired']	letter fictional nature club philosophy philosophy letter clubs historical,speech
33	2462689	Ann Mitchell	['hire', 'starts', 'persuades']		speech intervention
34	2462689	Long John Willoughby - 'John Doe'	['spreads', 'movement', 'died'],['gets', 'turns', 'realizes', 'intends']	['recognized'],['hired']	letter fictional nature club philosophy philosophy letter clubs historical,speech
37	4018288	Debbie Worden	['Street', 'proposes', 'go']		band bed
41	33417831	Jerome Ades	['passes']		producer music
42	33417831	Susanne Feldberg			wife
43	33417831	Philip Henrion	['becomes']		girlfriend
50	25755313	Harmon Cobb			lawyer town
51	8153846	Odile Deray	['publicist', 'brings']	['faced']	publicist slasher sickle relationship
52	8153846	Simon Jérémi			star
53	8153846	Serge Karamasov			womanizer self
56	529276	Ellen Brody	['thinks', 'meets', 'becomes', 'apologized', 'thrusts']	['convinced', 'horrified']	wife attempts upset disbelief
57	529276	Sean Brody	['works'],['attack', 'follows', 'escapes', 'dies', 'mother', 'park', 'long', 'shows', 'begins', 'injures', 'unharmed', 'causes', 'attacks', 'appears']	,['captured']	son fiancee,unharmed shark
59	529276	Michael Brody	['thinks', 'returns', 'upset', 'go', 'continues', 'hears'],['enters', 'survives', 'has', 'spots', 'stops', 'tower', 'orders', 'shows', 'smashes', 'find', 'suspects', 'insists', 'continues', 'appears', 'smashes', 'appears', 'attacks', 'approaches', 'finds', 'finds', 'tries', 'injures', 'gets', 'gets', 'collects']	['chased', 'flown'],	son wife daughter year upset,belief town shark tower observation position suspicions
60	529276	Carla Brody	['thinks', 'bursts', 'targeted', 'appears', 'attacks', 'attacks', 'drags', 'absent', 'explodes']		wife speech shark
62	529276	Thea Brody	['goes']		daughter year
63	529276	Hoagie Newcombe	['lands', 'survives', 'flies']		carefree plane
64	529276	Jake	['stabs', 'put', 'moves'],['set', 'urges', 'finds'],['sleeps', 'kills', 'travels', 'encounters', 'dominate'],['finds', 'goes'],['married', 'is', 'taking', 'collapses', 'know', 'given', 'becomes', 'dancing', 'separate']	,,,,	partners boat,set assistant friend,brother self,odyssey voodoo,distress children naked
66	20631892	Sagar Alias Jacky	['gangster', 'calls', 'travels', 'tells', 'locate', 'responds', 'responsible', 'escapes', 'hunts', 'goes', 'informs'],,['character']	['framed', 'asked'],,	gangster friend contact vengeance gangsters location rival responsible bodyguard interest love news,life gold smuggling,character smuggling
67	20631892	Manu	['realises']	['kidnapped', 'held']	wife deal
76	23266463	Sarah Bennett			teacher substitute
77	657446	Max Reede	['makes', 'going', 'stops', 'knows', 'blows', 'replies']		son son plane birthday
79	657446	Fletcher Reede	['makes', 'has', 'built', 'misses', 'discovers', 'discovers', 'tries', 'has', 'struggles', 'injured', 'celebrating', 'kissing', 'asks', 'chases']		lying
80	657446	Miranda	,['business', 'leaves'],['impressed', 'breaks', 'impressed', 'starts', 'tells', 'offers', 'manage', 'become'],['read', 'awake', 'went']	['tells'],,['covered'],	boss,business boss revenge,kangaroo wombat female vine impressed sister impressed,absence
81	657446	Jerry	,['hires', 'throws', 'lets', 'loser'],,['becomes', 'convinces', 'breaks', 'fabricated'],['pushes', 'care', 'said', 'producing', 'looking'],['pays', 'relapses', 'pay']	,['give'],,,,	boyfriend,coach team team loser,coworker home,friend klutzy,mom,favor
82	657446	Greta			secretary truth
83	4072739	Jack Mize	,['sure']	,	investigator,sure
84	4072739	Jack Mize	,['sure']	,	investigator,sure
85	4072739	Katherine Sullivan	['witnesses', 'hires', 'truth']		version
86	4803289	Anthony Stowe	['addict'],['botches', 'Stowe', 'meets', 'close', 'accuses', 'undergoes', 'learning', 'undergone', 'returns', 'manages', 'grabs', 'have']	,['approached', 'convinced']	detective narcotics,chat dismissive unrepentant marriage life
87	4803289	Gabriel Callaghan			partner drug
90	4803289	Anthony Stowe	['addict'],['botches', 'Stowe', 'meets', 'close', 'accuses', 'undergoes', 'learning', 'undergone', 'returns', 'manages', 'grabs', 'have']	,['approached', 'convinced']	detective narcotics,chat dismissive unrepentant marriage life
98	1788654	Frank Sangster	['descends', 'schedules', 'provides', 'puts', 'fails', 'goes', 'returns', 'takes', 'flees', 'tells', 'breaks', 'pulls', 'uses', 'escape', 'man']	['confronted', 'arrested']	life narcotics office narcotics cocaine distress anxiety marks teeth chair dentist teeth office man chair murder
99	1788654	Susan	['requests', 'changes', 'arrives', 'steals', 'stolen', 'dispensed', 'call', 'spends', 'form', 'sees', 'finds', 'free'],['disappears'],['played', 'son', 'has'],['comes'],,['thinks', 'carrying', 'does', 'takes', 'carry', 'tries', 'walk', 'next', 'championed', 'comes', 'manages', 'inside', 'called', 'turns'],['got', 'managed'],['convinces'],['getting', 'having', 'asks', 'relationship', 'realizes', 'tries', 'has'],	['offers'],,,,,['gunned', 'shot', 'shot'],,,,['raped']	visit office room hotel brother room hotel form,sister,schoolteacher daughter,girlfriend,daughter reception wedding,member next ricochet,ex-wife daughter,advice,son,woman class
101	1788654	Duane	['dispensed', 'call', 'spends', 'ends', 'sees', 'finds', 'free']	['offers']	brother brother dead murder teeth
102	1788654	Actor Lance Phelps			actor anxiety hack
103	1788654	Harlan Sangster			corpse
105	21735071	Sarfras			screenwriter
